Case_number,District_name,Week_day,Year,Month,Day_month,Time,Type_of_vehicle,Sex,Age,Person_type,Injury_severity,Day,Holiday,Vacation_day,Numero_expedient_count,Number of victims,Slightly injured,Severely injured,Weekend Exists,Season,Density,TM,HRM,PM,PPT,RS24h,VVM10,Time_segment
2021S000099    ,Nou Barris,Friday,2021,1,8,9,Motorcycle,Man,44,Driver,2,08/01/2021,Not Holiday,False,1,0,0,1,True,Winter,1,6.0,53,1008.7,0.0,5.5,1.3,6-14
2021S000100    ,Sant Martí,Friday,2021,1,8,10,Motorcycle,Man,55,Driver,1,08/01/2021,Not Holiday,False,1,0,1,0,True,Winter,1,6.0,53,1008.7,0.0,5.5,1.3,6-14
2021S000102    ,Sants-Montjuïc,Friday,2021,1,8,12,Bicycle,Man,46,Driver,2,08/01/2021,Not Holiday,False,1,0,0,1,True,Winter,1,6.0,53,1008.7,0.0,5.5,1.3,6-14
2021S000103    ,Eixample,Friday,2021,1,8,14,Motorcycle,Man,35,Driver,2,08/01/2021,Not Holiday,False,1,0,0,1,True,Winter,1,6.0,53,1008.7,0.0,5.5,1.3,14-22
2021S000104    ,Horta-Guinardó,Friday,2021,1,8,14,Motorcycle,Man,52,Driver,2,08/01/2021,Not Holiday,False,2,0,0,1,True,Winter,1,6.0,53,1008.7,0.0,5.5,1.3,14-22
2021S000105    ,Gràcia,Friday,2021,1,8,14,Ciclomotor,Woman,26,Driver,2,08/01/2021,Not Holiday,False,1,0,0,1,True,Winter,1,6.0,53,1008.7,0.0,5.5,1.3,14-22
2021S000107    ,Eixample,Friday,2021,1,8,15,Motorcycle,Man,25,Driver,2,08/01/2021,Not Holiday,False,1,0,0,1,True,Winter,1,6.0,53,1008.7,0.0,5.5,1.3,14-22
2021S000108    ,Sants-Montjuïc,Friday,2021,1,8,14,Veh. motor personal mobility,Woman,59,Pedestrian,2,08/01/2021,Not Holiday,False,2,0,0,1,True,Winter,1,6.0,53,1008.7,0.0,5.5,1.3,14-22
2021S000109    ,Ciutat Vella,Friday,2021,1,8,16,Tourism,Woman,26,Pedestrian,2,08/01/2021,Not Holiday,False,1,0,0,1,True,Winter,1,6.0,53,1008.7,0.0,5.5,1.3,14-22
2021S000110    ,Eixample,Friday,2021,1,8,16,Veh. motor personal mobility,Woman,24,Driver,1,08/01/2021,Not Holiday,False,1,0,1,0,True,Winter,1,6.0,53,1008.7,0.0,5.5,1.3,14-22
