District_name,Week_day,Month,Time,Sex,Age,Day,Holiday,Time_segment,Number of victims,Slightly injured,Severely injured,Weekend Exit,Season,Density,Weekend Return,Number of accidents by time segment
Ciutat Vella,Thursday,1,13,Woman,34,2021-01-14,No,Morning,0,0,1,False,Winter,1,No,4
Sarrià-Sant Gervasi,Thursday,1,13,Man,47,2021-01-14,No,Morning,0,0,1,False,Winter,1,No,4
Eixample,Thursday,1,14,Woman,21,2021-01-14,No,Work Departure,0,0,1,False,Winter,1,No,3
Sants-Montjuïc,Thursday,1,15,Man,45,2021-01-14,No,Work Departure,0,0,1,False,Winter,1,No,3
Sant Martí,Thursday,1,16,Man,3,2021-01-14,No,Work Departure,0,0,1,False,Winter,1,No,3
Eixample,Thursday,1,18,Woman,62,2021-01-14,No,Afternoon,0,1,0,False,Winter,1,No,7
Eixample,Thursday,1,18,Man,41,2021-01-14,No,Afternoon,0,0,1,False,Winter,1,No,7
Eixample,Thursday,1,18,Woman,31,2021-01-14,No,Afternoon,0,0,1,False,Winter,1,No,7
Sant Andreu,Thursday,1,18,Man,20,2021-01-14,No,Afternoon,0,0,1,False,Winter,1,No,7
Sant Martí,Thursday,1,18,Man,54,2021-01-14,No,Afternoon,0,0,1,False,Winter,1,No,7
Sarrià-Sant Gervasi,Thursday,1,20,Man,64,2021-01-14,No,Afternoon,0,0,1,False,Winter,1,No,7
Sant Andreu,Thursday,1,20,Woman,25,2021-01-14,No,Afternoon,0,0,1,False,Winter,1,No,7
Ciutat Vella,Friday,1,5,Man,38,2021-01-15,No,Early Morning,0,0,1,True,Winter,0,No,1
Sant Andreu,Friday,1,7,Man,24,2021-01-15,No,Work Entrance,0,0,1,True,Winter,1,No,8
Desconegut,Friday,1,8,Woman,50,2021-01-15,No,Work Entrance,0,1,0,True,Winter,2,No,8
Sants-Montjuïc,Friday,1,8,Woman,56,2021-01-15,No,Work Entrance,0,0,1,True,Winter,2,No,8
Sarrià-Sant Gervasi,Friday,1,8,Man,49,2021-01-15,No,Work Entrance,0,0,1,True,Winter,2,No,8
Sant Martí,Friday,1,8,Man,13,2021-01-15,No,Work Entrance,0,0,1,True,Winter,2,No,8
Sants-Montjuïc,Friday,1,9,Man,76,2021-01-15,No,Work Entrance,0,0,1,True,Winter,1,No,8
Sarrià-Sant Gervasi,Friday,1,9,Woman,60,2021-01-15,No,Work Entrance,0,0,1,True,Winter,1,No,8
Sarrià-Sant Gervasi,Friday,1,9,Man,22,2021-01-15,No,Work Entrance,0,0,1,True,Winter,1,No,8
Eixample,Friday,1,10,Man,32,2021-01-15,No,Morning,0,1,0,True,Winter,1,No,8
Sant Martí,Friday,1,10,Woman,33,2021-01-15,No,Morning,0,0,1,True,Winter,1,No,8
Sants-Montjuïc,Friday,1,11,Man,46,2021-01-15,No,Morning,0,1,0,True,Winter,1,No,8
Sant Martí,Friday,1,11,Man,45,2021-01-15,No,Morning,0,0,1,True,Winter,1,No,8
Sant Martí,Friday,1,12,Woman,83,2021-01-15,No,Morning,0,0,1,True,Winter,2,No,8
Eixample,Friday,1,13,Man,45,2021-01-15,No,Morning,0,1,0,True,Winter,1,No,8
Sant Andreu,Friday,1,13,Man,26,2021-01-15,No,Morning,0,0,1,True,Winter,1,No,8
Eixample,Friday,1,13,Woman,77,2021-01-15,No,Morning,0,0,1,True,Winter,1,No,8
Sant Martí,Friday,1,14,Man,29,2021-01-15,No,Work Departure,0,0,1,True,Winter,1,No,5
Les Corts,Friday,1,15,Man,55,2021-01-15,No,Work Departure,0,0,1,True,Winter,1,No,5
Sarrià-Sant Gervasi,Friday,1,15,Woman,52,2021-01-15,No,Work Departure,0,1,0,True,Winter,1,No,5
Sant Andreu,Friday,1,15,Woman,15,2021-01-15,No,Work Departure,0,1,0,True,Winter,1,No,5
Sarrià-Sant Gervasi,Friday,1,16,Man,41,2021-01-15,No,Work Departure,0,0,1,True,Winter,1,No,5
Eixample,Friday,1,21,Man,29,2021-01-15,No,Afternoon,0,0,1,True,Winter,1,No,1
Eixample,Saturday,1,9,Woman,51,2021-01-16,Yes,Work Entrance,0,1,0,False,Winter,1,No,1
Eixample,Saturday,1,11,Man,48,2021-01-16,Yes,Morning,0,1,0,False,Winter,1,No,3
Nou Barris,Saturday,1,11,Man,18,2021-01-16,Yes,Morning,0,0,1,False,Winter,1,No,3
Horta-Guinardó,Saturday,1,13,Man,29,2021-01-16,Yes,Morning,0,0,1,False,Winter,1,No,3
Eixample,Saturday,1,14,Woman,46,2021-01-16,Yes,Work Departure,0,0,1,False,Winter,1,No,8
Nou Barris,Saturday,1,14,Woman,17,2021-01-16,Yes,Work Departure,0,0,1,False,Winter,1,No,8
Sant Andreu,Saturday,1,14,Man,69,2021-01-16,Yes,Work Departure,0,0,1,False,Winter,1,No,8
Ciutat Vella,Saturday,1,15,Woman,26,2021-01-16,Yes,Work Departure,0,0,1,False,Winter,1,No,8
Eixample,Saturday,1,15,Man,40,2021-01-16,Yes,Work Departure,0,1,0,False,Winter,1,No,8
Desconegut,Saturday,1,16,Man,32,2021-01-16,Yes,Work Departure,0,0,1,False,Winter,1,No,8
Sants-Montjuïc,Saturday,1,16,Man,9,2021-01-16,Yes,Work Departure,0,0,1,False,Winter,1,No,8
Sant Martí,Saturday,1,17,Woman,27,2021-01-16,Yes,Work Departure,0,0,1,False,Winter,1,No,8
Sarrià-Sant Gervasi,Saturday,1,18,Woman,46,2021-01-16,Yes,Afternoon,0,0,1,False,Winter,1,No,1
Sants-Montjuïc,Sunday,1,12,Man,45,2021-01-17,Yes,Morning,0,0,1,False,Winter,1,Yes,3
Sarrià-Sant Gervasi,Sunday,1,12,Man,45,2021-01-17,Yes,Morning,0,0,1,False,Winter,1,Yes,3
Sant Andreu,Sunday,1,13,Man,61,2021-01-17,Yes,Morning,0,0,1,False,Winter,1,Yes,3
