Case_number,Type_of_vehicle,License type,Age license
2022S002409    ,Rigid truck > 3.5 tonnes,C,1
2021S003655    ,Motorcycle,A,1
2021S005572    ,Motorcycle,A2,1
2021S002392    ,Tourism,B,1
2022S000357    ,Ciclomotor,B,1
2022S002545    ,Ciclomotor,AM,1
2022S005511    ,Van,B,1
2021S000900    ,Motorcycle,A,1
2021S003688    ,Motorcycle,A,1
2022S007248    ,Tourism,B,1
2022S006985    ,Bus,D,1
2022S005639    ,Motorcycle,A2,1
2022S005934    ,Motorcycle,A2,1
2021S007408    ,Motorcycle,A1,1
2022S000207    ,Motorcycle,A2,1
2022S006815    ,Motorcycle,B,1
2022S000594    ,Motorcycle,A2,1
2022S007372    ,Motorcycle,A2,1
2022S003491    ,Motorcycle,A,1
2022S002821    ,Tourism,B,1
2022S003957    ,Tourism,B,1
2021S002085    ,Tourism,B,1
2022S006796    ,Tourism,B,1
2022S005144    ,Motorcycle,B,1
2022S006700    ,Motorcycle,A,1
2022S003105    ,Motorcycle,A,1
2022S002651    ,Motorcycle,A2,1
2022S002452    ,Motorcycle,A1,1
2021S006111    ,Ciclomotor,B,1
2022S005389    ,Tourism,B,1
2021S007396    ,Motorcycle,B,1
2022S005180    ,Motorcycle,B,1
2022S000857    ,Tourism,B,1
2022S002345    ,Motorcycle,A2,1
2022S007770    ,Motorcycle,A1,1
2022S005419    ,Motorcycle,B,1
2022S002410    ,Motorcycle,A1,1
2022S005157    ,Motorcycle,B,1
2022S007177    ,Motorcycle,A,1
2022S006533    ,Motorcycle,A2,1
2022S003989    ,Motorcycle,A,1
2022S004841    ,Tourism,B,1
2022S005917    ,Tourism,B,1
2022S003414    ,Ciclomotor,B,1
2021S006327    ,Tourism,B,1
2021S002693    ,Tourism,B,1
2022S002951    ,Tourism,B,1
2022S003153    ,Tourism,B,1
2022S002524    ,Motorcycle,A2,1
2022S001920    ,Ciclomotor,B,1
2022S000743    ,Tourism,B,1
2022S000743    ,Motorcycle,B,1
2022S005097    ,Tourism,B,1
2021S000325    ,Motorcycle,A2,1
2021S004168    ,Tourism,B,1
2022S007018    ,Tourism,B,1
2022S001272    ,Motorcycle,A1,1
2022S005457    ,Tourism,B,1
2022S005964    ,Motorcycle,A,1
2022S003150    ,Motorcycle,A,1
2022S004611    ,Van,B,1
2021S001788    ,Motorcycle,A,1
2022S004868    ,Van,B,1
2022S007863    ,Rigid truck > 3.5 tonnes,C,1
2022S003187    ,Ciclomotor,B,1
2022S004977    ,Motorcycle,A,1
2022S004336    ,Motorcycle,A1,1
2022S007133    ,Motorcycle,B,1
2022S000636    ,Motorcycle,A2,1
2022S000970    ,Motorcycle,A2,1
2021S001484    ,Tourism,D,1
2022S000168    ,Tourism,B,1
2021S002693    ,Tourism,B,1
2022S000603    ,Motorcycle,A2,1
2022S000794    ,Motorcycle,B,1
2022S001957    ,Tourism,B,1
2022S006786    ,Tourism,B,1
2022S005611    ,Tourism,B,1
2022S000756    ,Rigid truck <= 3.5 tonnes,B,1
2021S004126    ,Van,B,1
2021S000331    ,Motorcycle,A2,1
2022S001226    ,Ciclomotor,B,1
2022S004781    ,Ciclomotor,AM,1
2022S003612    ,Tourism,B,1
2021S003423    ,Motorcycle,A1,1
2021S001523    ,Van,B,1
2022S003374    ,Tourism,B,1
2022S004770    ,Van,B,1
2022S001959    ,Motorcycle,A2,1
2021S000409    ,Motorcycle,A2,1
2022S005471    ,Ciclomotor,B,1
2022S005061    ,Motorcycle,A,1
2022S005744    ,Ciclomotor,B,1
2021S006375    ,Rigid truck <= 3.5 tonnes,B,1
2022S005828    ,Tourism,B,1
2022S008010    ,Tourism,B,1
2022S000598    ,Motorcycle,B,1
2022S005334    ,Tourism,B,1
2022S000667    ,Motorcycle,A1,1
2022S002523    ,Ciclomotor,B,1
2022S004752    ,Motorcycle,A2,1
2022S006889    ,Motorcycle,A1,1
2022S006576    ,Van,B,1
2021S001371    ,Motorcycle,A,1
2022S007780    ,Ciclomotor,A1,1
2021S005056    ,Motorcycle,A2,1
2021S004854    ,Motorcycle,A,1
2022S002088    ,Tourism,B,1
2022S005666    ,Van,B,1
2022S002719    ,Motorcycle,A1,1
2022S001894    ,Tourism,B,1
2022S006918    ,Tourism,B,1
2022S003569    ,Motorcycle,A2,1
2021S003553    ,Motorcycle,B,1
