Numero_expedient,Descripcio_causa_mediata
2021S000631    ,No hi ha causa mediata
2021S000629    ,No hi ha causa mediata
2021S000630    ,Alcoholèmia
2021S000621    ,No hi ha causa mediata
2021S000627    ,No hi ha causa mediata
2021S000615    ,No hi ha causa mediata
2021S000616    ,No hi ha causa mediata
2021S000622    ,No hi ha causa mediata
2021S000614    ,No hi ha causa mediata
2021S000625    ,No hi ha causa mediata
2021S000618    ,No hi ha causa mediata
2021S000632    ,No hi ha causa mediata
2021S000626    ,No hi ha causa mediata
2021S000473    ,No hi ha causa mediata
2021S000620    ,No hi ha causa mediata
2021S000613    ,Calçada en mal estat
2021S000623    ,No hi ha causa mediata
2021S000633    ,No hi ha causa mediata
2021S000617    ,No hi ha causa mediata
2021S000619    ,No hi ha causa mediata
2021S000634    ,No hi ha causa mediata
2021S000640    ,Alcoholèmia
2021S000641    ,No hi ha causa mediata
2021S000639    ,Objectes o animals a la calçada
2021S000636    ,No hi ha causa mediata
2021S000637    ,No hi ha causa mediata
2021S000638    ,Alcoholèmia
2021S000635    ,No hi ha causa mediata
2021S000658    ,Drogues o medicaments
2021S000659    ,Drogues o medicaments
2021S000653    ,No hi ha causa mediata
2021S000650    ,No hi ha causa mediata
2021S000655    ,No hi ha causa mediata
2021S000646    ,No hi ha causa mediata
2021S000652    ,No hi ha causa mediata
2021S000654    ,No hi ha causa mediata
2021S000649    ,No hi ha causa mediata
2021S000656    ,No hi ha causa mediata
2021S000647    ,No hi ha causa mediata
2021S000651    ,No hi ha causa mediata
2021S000648    ,No hi ha causa mediata
2021S000657    ,No hi ha causa mediata
2021S000644    ,No hi ha causa mediata
2021S000645    ,No hi ha causa mediata
2021S000642    ,No hi ha causa mediata
2021S000668    ,No hi ha causa mediata
2021S000666    ,No hi ha causa mediata
2021S000661    ,No hi ha causa mediata
2021S000672    ,No hi ha causa mediata
2021S000663    ,No hi ha causa mediata
2021S000664    ,No hi ha causa mediata
2021S000678    ,No hi ha causa mediata
2021S000665    ,No hi ha causa mediata
2021S000662    ,No hi ha causa mediata
2021S000676    ,No hi ha causa mediata
2021S000677    ,No hi ha causa mediata
2021S000675    ,No hi ha causa mediata
2021S000673    ,No hi ha causa mediata
2021S000671    ,Calçada en mal estat
2021S000669    ,No hi ha causa mediata
2021S000667    ,No hi ha causa mediata
2021S000660    ,No hi ha causa mediata
2021S000674    ,No hi ha causa mediata
