EMA;DATA;TM;TX;Data Extrem TX;TN;Data Extrem TN;HRM;HRX;Data Extrem HRX;HRN;Data Extrem HRN;PM;PX;Data Extrem PX;PN;Data Extrem PN;PPT;RS24h;VVM10;DVM10;VVX10;Data Extrem VVX10;DVVX10
X4;10/02/2021;13;17;2021-02-10 14:27:00;11,1;2021-02-10 10:33:00;53;70;2021-02-10 10:34:00;41;2021-02-10 14:48:00;1002,2;1011;2021-02-10 23:58:00;997,2;2021-02-10 05:51:00;0,1;9,1;3,2;300;12,9;2021-02-10 20:41:00;320
X4;11/02/2021;13,2;16,5;2021-02-11 11:58:00;10,1;2021-02-11 06:49:00;55;70;2021-02-11 23:59:00;40;2021-02-11 11:56:00;1012,9;1014,3;2021-02-11 21:06:00;1010,9;2021-02-11 00:01:00;0;13,4;1,8;290;8;2021-02-11 00:39:00;61
X4;12/02/2021;12,8;16,2;2021-02-12 15:52:00;11,1;2021-02-12 03:43:00;78;97;2021-02-12 19:32:00;59;2021-02-12 10:03:00;1011,2;1013,6;2021-02-12 23:57:00;1008,5;2021-02-12 15:42:00;0,1;5,8;1,1;141;6,6;2021-02-12 16:50:00;83
X4;13/02/2021;13,1;16;2021-02-13 12:14:00;11,2;2021-02-13 07:30:00;79;99;2021-02-13 03:47:00;50;2021-02-13 12:19:00;1018,9;1024,2;2021-02-13 23:49:00;1013,5;2021-02-13 00:57:00;0;13,7;2,1;197;8;2021-02-13 09:21:00;305
X4;14/02/2021;9,8;12,1;2021-02-14 00:00:00;9,2;2021-02-14 13:13:00;75;98;2021-02-14 00:35:00;58;2021-02-14 20:08:00;1029,7;1032,8;2021-02-14 23:57:00;1024,1;2021-02-14 00:01:00;2,8;1,6;2,8;82;9,3;2021-02-14 03:40:00;87
X4;15/02/2021;10,5;12;2021-02-15 14:54:00;9,2;2021-02-15 03:41:00;71;99;2021-02-15 21:09:00;61;2021-02-15 15:30:00;1031,1;1032,8;2021-02-15 00:22:00;1028,5;2021-02-15 23:57:00;0,4;2,8;1,3;236;5,7;2021-02-15 16:36:00;262
X4;16/02/2021;12,4;15;2021-02-16 14:11:00;10,6;2021-02-16 23:26:00;79;94;2021-02-16 01:35:00;63;2021-02-16 11:50:00;1022,7;1028,6;2021-02-16 00:00:00;1019,3;2021-02-16 17:05:00;0,1;7,6;2,8;258;12,3;2021-02-16 14:17:00;237
X4;17/02/2021;12,5;17,2;2021-02-17 11:05:00;10,3;2021-02-17 06:05:00;79;95;2021-02-17 23:51:00;52;2021-02-17 11:07:00;1019,1;1021,1;2021-02-17 01:40:00;1016,5;2021-02-17 23:54:00;0;13,4;1,6;241;6,8;2021-02-17 17:10:00;235
X4;18/02/2021;11,8;15;2021-02-18 13:23:00;9,6;2021-02-18 04:02:00;82;98;2021-02-18 03:05:00;63;2021-02-18 13:23:00;1015,5;1016,6;2021-02-18 00:00:00;1014;2021-02-18 14:20:00;0;9,5;1,7;247;6;2021-02-18 15:41:00;228
X4;19/02/2021;11,6;15,1;2021-02-19 13:02:00;9,8;2021-02-19 02:01:00;82;95;2021-02-19 23:07:00;63;2021-02-19 13:03:00;1016,4;1018,1;2021-02-19 09:30:00;1015,3;2021-02-19 15:02:00;0;11,5;1,7;246;6,4;2021-02-19 14:16:00;215
